caller_file,caller_line,caller_func,callee_file,callee_line,callee_func,calls,edge_tottime_approx,edge_cumtime_approx,callee_tottime_total,callee_cumtime_total
_ufunc_config.py,410,__enter__,~,0,<method 'set' of '_contextvars.ContextVar' objects>,15,5.3919e-05,5.3919e-05,5.5821000000000006e-05,5.5821000000000006e-05
_ufunc_config.py,434,inner,~,0,<method 'set' of '_contextvars.ContextVar' objects>,1,1.9020000000000002e-06,1.9020000000000002e-06,5.5821000000000006e-05,5.5821000000000006e-05
_ufunc_config.py,434,inner,~,0,<method 'reset' of '_contextvars.ContextVar' objects>,1,1.283e-06,1.283e-06,3.5571e-05,3.5571e-05
_ufunc_config.py,426,__exit__,~,0,<method 'reset' of '_contextvars.ContextVar' objects>,15,3.4288e-05,3.4288e-05,3.5571e-05,3.5571e-05
events.py,86,_run,~,0,<method 'run' of '_contextvars.Context' objects>,3,1.4909e-05,0.0024975600000000002,1.4909e-05,0.0024975600000000002
misc.py,677,check_sanity,~,0,<method 'union' of 'set' objects>,15,0.00020332800000000002,0.00020332800000000002,0.00020332800000000002,0.00020332800000000002
session.py,687,serialize,~,0,<method 'get' of 'dict' objects>,1,5.3e-07,5.3e-07,0.635285008,0.635285008
getlimits.py,487,__new__,~,0,<method 'get' of 'dict' objects>,1589240,0.6347899760000001,0.6347899760000001,0.635285008,0.635285008
ipython-input-3795278461.py,92,work_fn,~,0,<method 'get' of 'dict' objects>,1,8.19e-07,8.19e-07,0.635285008,0.635285008
blas.py,395,getter,~,0,<method 'get' of 'dict' objects>,90,0.00047662800000000005,0.00047662800000000005,0.635285008,0.635285008
_linalg.py,142,_realType,~,0,<method 'get' of 'dict' objects>,15,1.7055000000000002e-05,1.7055000000000002e-05,0.635285008,0.635285008
fromnumeric.py,69,_wrapreduction,~,0,<method 'items' of 'dict' objects>,3189246,0.891000757,0.891000757,0.8910549050000001,0.8910549050000001
fromnumeric.py,89,_wrapreduction_any_all,~,0,<method 'items' of 'dict' objects>,75,5.4148000000000004e-05,5.4148000000000004e-05,0.8910549050000001,0.8910549050000001
~,0,<built-in method time.sleep>,~,0,<method 'values' of 'dict' objects>,3,8.893000000000001e-06,8.893000000000001e-06,1.2969e-05,1.2969e-05
configuration_recovery.py,59,recover_configurations,~,0,<method 'values' of 'dict' objects>,1,4.0760000000000004e-06,4.0760000000000004e-06,1.2969e-05,1.2969e-05
_decomp.py,284,eigh,~,0,<method 'update' of 'dict' objects>,90,0.000129073,0.000129073,0.000129073,0.000129073
session.py,646,msg,~,0,<method 'copy' of 'dict' objects>,1,6.08e-07,6.08e-07,6.08e-07,6.08e-07
~,0,<built-in method time.sleep>,~,0,<method 'append' of 'list' objects>,6,3.894e-06,3.894e-06,0.00044000500000000004,0.00044000500000000004
selectors.py,451,select,~,0,<method 'append' of 'list' objects>,1,4.870000000000001e-07,4.870000000000001e-07,0.00044000500000000004,0.00044000500000000004
session.py,687,serialize,~,0,<method 'append' of 'list' objects>,3,8.960000000000001e-07,8.960000000000001e-07,0.00044000500000000004,0.00044000500000000004
_internal.py,448,_promote_fields,~,0,<method 'append' of 'list' objects>,52,1.2942e-05,1.2942e-05,0.00044000500000000004,0.00044000500000000004
_function_base_impl.py,1324,diff,~,0,<method 'append' of 'list' objects>,31,1.2315000000000002e-05,1.2315000000000002e-05,0.00044000500000000004,0.00044000500000000004
linalg_helper.py,1490,_normalize_xt_,~,0,<method 'append' of 'list' objects>,75,0.000153138,0.000153138,0.00044000500000000004,0.00044000500000000004
linalg_helper.py,291,davidson1,~,0,<method 'append' of 'list' objects>,174,0.00010629,0.00010629,0.00044000500000000004,0.00044000500000000004
_util.py,1203,wrapper,~,0,<method 'append' of 'list' objects>,180,0.000121341,0.000121341,0.00044000500000000004,0.00044000500000000004
direct_spin1.py,549,_get_init_guess,~,0,<method 'append' of 'list' objects>,15,1.3882e-05,1.3882e-05,0.00044000500000000004,0.00044000500000000004
subsampling.py,147,subsample,~,0,<method 'append' of 'list' objects>,15,8.924000000000001e-06,8.924000000000001e-06,0.00044000500000000004,0.00044000500000000004
fermion.py,149,diagonalize_fermionic_hamiltonian,~,0,<method 'append' of 'list' objects>,15,4.5670000000000005e-06,4.5670000000000005e-06,0.00044000500000000004,0.00044000500000000004
numeric.py,1437,moveaxis,~,0,<method 'insert' of 'list' objects>,2,2.094e-06,2.094e-06,2.094e-06,2.094e-06
session.py,687,serialize,~,0,<method 'extend' of 'list' objects>,1,5.250000000000001e-07,5.250000000000001e-07,8.18e-07,8.18e-07
session.py,751,send,~,0,<method 'extend' of 'list' objects>,1,2.9300000000000004e-07,2.9300000000000004e-07,8.18e-07,8.18e-07
session.py,97,json_packer,~,0,<method 'encode' of 'str' objects>,4,4.288e-06,4.288e-06,4.288e-06,4.288e-06
jsonutil.py,108,json_default,~,0,<method 'replace' of 'str' objects>,2,2.2580000000000002e-06,2.2580000000000002e-06,2.2580000000000002e-06,2.2580000000000002e-06
configuration_recovery.py,59,recover_configurations,~,0,<method 'join' of 'str' objects>,400000,4.526474018,9.707587903,4.52648197,9.707595855000001
encoder.py,183,encode,~,0,<method 'join' of 'str' objects>,4,7.952000000000001e-06,7.952000000000001e-06,4.52648197,9.707595855000001
attrsettr.py,43,__getattr__,~,0,<method 'upper' of 'str' objects>,4,3.4080000000000002e-06,3.4080000000000002e-06,3.4080000000000002e-06,3.4080000000000002e-06
misc.py,702,check_sanity,~,0,<method 'startswith' of 'str' objects>,195,7.9824e-05,7.9824e-05,7.9824e-05,7.9824e-05
_arraysetops_impl.py,144,unique,~,0,<method 'format' of 'str' objects>,52,3.3255e-05,3.3255e-05,3.3255e-05,3.3255e-05
~,0,<built-in method builtins.issubclass>,<frozen abc>,121,__subclasscheck__,2,4.33e-06,1.106e-05,4.33e-06,1.106e-05
~,0,<built-in method builtins.isinstance>,<frozen abc>,117,__instancecheck__,90,0.000193746,0.000700063,0.00019643900000000002,0.0007057490000000001
fermion.py,149,diagonalize_fermionic_hamiltonian,<frozen abc>,117,__instancecheck__,1,2.6930000000000003e-06,5.686e-06,0.00019643900000000002,0.0007057490000000001
attrsettr.py,43,__getattr__,<frozen importlib._bootstrap>,1390,_handle_fromlist,4,1.2453000000000001e-05,1.7652e-05,1.2453000000000001e-05,1.7652e-05
~,0,<built-in method time.sleep>,~,0,<built-in method builtins.abs>,8,2.5359000000000002e-05,2.5359000000000002e-05,0.005186154,0.005186154
linalg_helper.py,1466,_sort_elast,~,0,<built-in method builtins.abs>,75,0.004596712,0.004596712,0.005186154,0.005186154
linalg_helper.py,291,davidson1,~,0,<built-in method builtins.abs>,172,0.0005577290000000001,0.0005577290000000001,0.005186154,0.005186154
fermion.py,149,diagonalize_fermionic_hamiltonian,~,0,<built-in method builtins.abs>,4,6.3540000000000005e-06,6.3540000000000005e-06,0.005186154,0.005186154
~,0,<built-in method time.sleep>,~,0,<built-in method builtins.all>,4,7.75e-06,7.75e-06,0.000150974,0.000150974
linalg_helper.py,291,davidson1,~,0,<built-in method builtins.all>,86,0.000143224,0.000143224,0.000150974,0.000150974
_stride_tricks_impl.py,349,_broadcast_to,~,0,<built-in method builtins.any>,180,0.000389781,0.000892724,0.000515611,0.001018554
_util.py,1203,wrapper,~,0,<built-in method builtins.any>,90,0.00012583,0.00012583,0.000515611,0.001018554
~,0,<built-in method time.sleep>,~,0,<built-in method builtins.callable>,6,4.245e-06,4.245e-06,0.000133506,0.000133506
linalg_helper.py,291,davidson1,~,0,<built-in method builtins.callable>,189,0.000129261,0.000129261,0.000133506,0.000133506
attrsettr.py,43,__getattr__,~,0,<built-in method builtins.getattr>,4,8.537e-06,8.537e-06,2.062112322,2.062112322
fromnumeric.py,69,_wrapreduction,~,0,<built-in method builtins.getattr>,794621,1.5521332630000002,1.5521332630000002,2.062112322,2.062112322
addons.py,190,_convert,~,0,<built-in method builtins.getattr>,120,0.0008056840000000001,0.0008056840000000001,2.062112322,2.062112322
