filename,lineno,func,prim_calls,total_calls,tottime,cumtime
~,0,<method 'set' of '_contextvars.ContextVar' objects>,16,16,5.5821000000000006e-05,5.5821000000000006e-05
~,0,<method 'reset' of '_contextvars.ContextVar' objects>,16,16,3.5571e-05,3.5571e-05
~,0,<method 'run' of '_contextvars.Context' objects>,3,3,1.4909e-05,0.0024975600000000002
~,0,<method 'union' of 'set' objects>,15,15,0.00020332800000000002,0.00020332800000000002
~,0,<method 'get' of 'dict' objects>,1589347,1589347,0.635285008,0.635285008
~,0,<method 'items' of 'dict' objects>,3189321,3189321,0.8910549050000001,0.8910549050000001
~,0,<method 'values' of 'dict' objects>,4,4,1.2969e-05,1.2969e-05
~,0,<method 'update' of 'dict' objects>,90,90,0.000129073,0.000129073
~,0,<method 'copy' of 'dict' objects>,1,1,6.08e-07,6.08e-07
~,0,<method 'append' of 'list' objects>,568,568,0.00044000500000000004,0.00044000500000000004
~,0,<method 'insert' of 'list' objects>,2,2,2.094e-06,2.094e-06
~,0,<method 'extend' of 'list' objects>,2,2,8.18e-07,8.18e-07
~,0,<method 'encode' of 'str' objects>,4,4,4.288e-06,4.288e-06
~,0,<method 'replace' of 'str' objects>,2,2,2.2580000000000002e-06,2.2580000000000002e-06
~,0,<method 'join' of 'str' objects>,400004,400004,4.52648197,9.707595855000001
~,0,<method 'upper' of 'str' objects>,4,4,3.4080000000000002e-06,3.4080000000000002e-06
~,0,<method 'startswith' of 'str' objects>,195,195,7.9824e-05,7.9824e-05
~,0,<method 'format' of 'str' objects>,52,52,3.3255e-05,3.3255e-05
<frozen abc>,121,__subclasscheck__,2,2,4.33e-06,1.106e-05
<frozen abc>,117,__instancecheck__,91,91,0.00019643900000000002,0.0007057490000000001
<frozen importlib._bootstrap>,1390,_handle_fromlist,4,4,1.2453000000000001e-05,1.7652e-05
~,0,<built-in method builtins.abs>,259,259,0.005186154,0.005186154
~,0,<built-in method builtins.all>,90,90,0.000150974,0.000150974
~,0,<built-in method builtins.any>,270,270,0.000515611,0.001018554
~,0,<built-in method builtins.callable>,195,195,0.000133506,0.000133506
~,0,<built-in method builtins.getattr>,2353848,2353848,2.062112322,2.062112322
~,0,<built-in method builtins.hasattr>,70,70,8.3262e-05,8.3262e-05
~,0,<built-in method builtins.hash>,4,4,2.1450000000000002e-06,2.1450000000000002e-06
~,0,<built-in method builtins.isinstance>,2395626,2395630,0.680468115,0.681202152
~,0,<built-in method builtins.issubclass>,2383997,2383997,1.162618133,1.1626291930000001
~,0,<built-in method builtins.iter>,180,180,0.00011458800000000001,0.00011458800000000001
~,0,<built-in method builtins.len>,1559459,1559459,0.43671450300000003,0.43671450300000003
~,0,<built-in method builtins.locals>,1,1,3.221e-06,3.221e-06
~,0,<built-in method builtins.max>,96,96,0.0004940620000000001,0.0004940620000000001
~,0,<built-in method builtins.min>,96,96,0.000446167,0.00045770600000000005
~,0,<built-in method builtins.round>,794608,794608,2.18810273,2.18810273
~,0,<built-in method builtins.sorted>,122,122,0.084554693,0.084554693
~,0,<built-in method builtins.sum>,15,15,3.5756e-05,3.5756e-05
~,0,<method '__exit__' of '_thread.RLock' objects>,1,1,8.760000000000001e-07,8.760000000000001e-07
~,0,<method 'acquire' of '_thread.lock' objects>,1,1,1.638e-06,1.638e-06
~,0,<method '__exit__' of '_thread.lock' objects>,2,2,1.294e-06,1.294e-06
~,0,<method 'close' of '_io.StringIO' objects>,1,1,3.77e-07,3.77e-07
~,0,<method 'getvalue' of '_io.StringIO' objects>,1,1,1.271e-06,1.271e-06
~,0,<built-in method time.time>,2,2,1.824e-06,1.824e-06
~,0,<built-in method time.sleep>,2693,2693,2432.758190973,2734.7935063630002
~,0,<built-in method time.monotonic>,5,5,7.32e-06,7.32e-06
~,0,<built-in method time.process_time>,120,120,0.00105415,0.00105415
~,0,<built-in method time.perf_counter>,120,120,0.000133508,0.000133508
~,0,<built-in method posix.getpid>,4,4,6.16e-06,6.16e-06
~,0,<built-in method posix.getppid>,2694,2694,0.012181356,0.012181356
~,0,<built-in method _abc._abc_instancecheck>,91,91,0.00050931,0.00050931
~,0,<built-in method _abc._abc_subclasscheck>,2,2,6.730000000000001e-06,6.730000000000001e-06
~,0,<method 'append' of 'collections.deque' objects>,4,4,3.6460000000000003e-06,3.6460000000000003e-06
~,0,<method 'popleft' of 'collections.deque' objects>,5,5,3.5270000000000003e-06,3.5270000000000003e-06
~,0,<built-in method _operator.index>,34,34,2.029e-05,2.029e-05
~,0,<built-in method utcnow>,1,1,3.4024000000000005e-05,3.4024000000000005e-05
~,0,<method 'isoformat' of 'datetime.datetime' objects>,2,2,3.2911000000000004e-05,3.2911000000000004e-05
~,0,<method 'replace' of 'datetime.datetime' objects>,1,1,5.5590000000000005e-06,5.5590000000000005e-06
~,0,<built-in method math.ceil>,1,1,1.2140000000000002e-06,1.2140000000000002e-06
~,0,<built-in method _heapq.heappush>,1,1,9.630000000000001e-07,9.630000000000001e-07
~,0,<built-in method _heapq.heappop>,1,1,1.3460000000000001e-06,1.3460000000000001e-06
~,0,<method 'poll' of 'select.epoll' objects>,2,2,5.6559000000000005e-05,0.49617965900000005
enum.py,1128,__new__,20,20,2.0421e-05,2.0421e-05
traitlets.py,2336,_validate_bounds,1,1,9.070000000000001e-07,9.070000000000001e-07
typing.py,1770,_no_init_or_replace_init,1,1,2.156e-06,2.156e-06
encoder.py,205,iterencode,4,4,4.2412e-05,9.000100000000001e-05
selectors.py,451,select,3,3,0.003975633,2696.144463077
traitlets.py,702,set,1,1,5.65e-06,2.4472000000000002e-05
base_events.py,771,call_at,1,1,1.027e-05,2.7791000000000002e-05
traitlets.py,651,get,14,14,1.3245000000000001e-05,1.3245000000000001e-05
traitlets.py,740,_cross_validate,1,1,4.586000000000001e-06,7.583e-06
base_events.py,1922,_run_once,3,3,0.007335250000000001,2696.155233937
events.py,86,_run,3,3,1.9758e-05,0.002517318
selector_events.py,750,_process_events,3,3,1.2992e-05,2.0537e-05
attrsettr.py,43,__getattr__,4,4,5.0096e-05,0.00018679200000000002
socket.py,632,send,8,8,0.001139519,0.001305184
socket.py,709,send_multipart,1,1,2.8804e-05,0.001354086
socket.py,780,recv_multipart,2,2,5.2679e-05,0.000104838
session.py,687,serialize,1,1,1.4752e-05,0.00017560900000000002
session.py,751,send,1,1,2.7239e-05,0.000382899
zmqstream.py,574,_handle_events,2,2,3.6296e-05,0.0019915690000000003
jsonutil.py,108,json_default,2,2,1.0391000000000001e-05,4.7589e-05
zmqstream.py,615,_handle_recv,2,2,1.1105000000000001e-05,0.0016352040000000001
iostream.py,495,_flush,1,1,3.5914e-05,0.00047774000000000004
iostream.py,90,_event_pipe,1,1,4.055e-06,4.055e-06
numeric.py,460,count_nonzero,794620,794620,0.493723689,0.8549601280000001
numeric.py,1373,normalize_axis_tuple,4,4,4.2418e-05,5.0773e-05
_internal.py,448,_promote_fields,1,1,0.00011466900000000001,0.000147057
fromnumeric.py,69,_wrapreduction,3189246,3189246,7.331274509000001,21.614377485000002
numeric.py,1437,moveaxis,2,2,3.2868000000000004e-05,9.991100000000001e-05
_ufunc_config.py,410,__enter__,15,15,6.9755e-05,0.00018142100000000002
_ufunc_config.py,434,inner,1,1,5.4532000000000006e-05,6.0480000000000004e-05
getlimits.py,487,__new__,1589240,1589240,0.965648476,1.6004384520000001
einsumfunc.py,1057,einsum,345,345,0.0013039660000000002,0.185379427
_internal.py,261,__init__,3450,3450,0.007718189,0.007738132000000001
_linalg.py,148,_commonType,15,15,0.00011381500000000001,0.000185631
_function_base_impl.py,249,flip,4,4,3.9441000000000004e-05,5.2914e-05
_stride_tricks_impl.py,349,_broadcast_to,180,180,0.005038414000000001,0.006769494
_arraysetops_impl.py,144,unique,1557950,1557950,3.752284942,30.406846345
_arraysetops_impl.py,342,_unique1d,1557950,1557950,17.063636353,25.07925171
_function_base_impl.py,1324,diff,31,31,0.00047246900000000005,0.000514442
numpy_helper.py,574,transpose,195,195,0.46830830900000003,0.47295262600000004
linalg_helper.py,166,_fill_heff_hermitian,90,90,0.49457281500000005,0.502898834
numpy_helper.py,256,pack_tril,15,15,0.020232972000000002,0.020584801
linalg_helper.py,1409,_qr,15,15,0.044731223,0.053717028
misc.py,702,check_sanity,15,15,0.000258249,0.00033807300000000004
numpy_helper.py,478,take_2d,90,90,0.20539300300000002,0.210262839
linalg_helper.py,1466,_sort_elast,75,75,0.004914503000000001,0.012428577000000001
linalg_helper.py,1490,_normalize_xt_,78,78,0.5470783810000001,0.548748199
_util.py,410,_asarray_validated,90,90,0.0014917810000000002,0.008631257
linalg_helper.py,291,davidson1,15,15,0.29095407,1555.52893578
linalg_helper.py,1432,_outprod_to_subspace,180,180,0.531098049,0.6847595900000001
lapack.py,1059,_check_work_float,180,180,0.0009565190000000001,0.0009565190000000001
_util.py,1203,wrapper,90,90,0.002890057,0.028339775
_decomp.py,284,eigh,90,90,0.010490414,0.025147075
addons.py,190,_convert,120,120,0.060659925,0.070084382
addons.py,60,restore,240,240,0.00417859,0.076444074
rdm.py,123,make_rdm12_spin1,15,15,8.16810101,8.168231135000001
selected_ci.py,175,cre_des_linkstr,120,120,0.26845616,0.285516814
