caller_file,caller_line,caller_func,callee_file,callee_line,callee_func,calls,edge_tottime_approx,edge_cumtime_approx,callee_tottime_total,callee_cumtime_total
_ufunc_config.py,410,__enter__,~,0,<method 'set' of '_contextvars.ContextVar' objects>,15,5.4393000000000006e-05,5.4393000000000006e-05,5.6628e-05,5.6628e-05
_ufunc_config.py,434,inner,~,0,<method 'set' of '_contextvars.ContextVar' objects>,1,2.235e-06,2.235e-06,5.6628e-05,5.6628e-05
_ufunc_config.py,434,inner,~,0,<method 'reset' of '_contextvars.ContextVar' objects>,1,1.2930000000000002e-06,1.2930000000000002e-06,4.0465e-05,4.0465e-05
_ufunc_config.py,426,__exit__,~,0,<method 'reset' of '_contextvars.ContextVar' objects>,15,3.9172000000000004e-05,3.9172000000000004e-05,4.0465e-05,4.0465e-05
events.py,86,_run,~,0,<method 'run' of '_contextvars.Context' objects>,3,1.2416000000000001e-05,0.0023385240000000002,1.2416000000000001e-05,0.0023385240000000002
misc.py,677,check_sanity,~,0,<method 'union' of 'set' objects>,15,0.000160218,0.000160218,0.000160218,0.000160218
session.py,687,serialize,~,0,<method 'get' of 'dict' objects>,1,8.49e-07,8.49e-07,0.639804669,0.639804669
getlimits.py,487,__new__,~,0,<method 'get' of 'dict' objects>,1581032,0.639249995,0.639249995,0.639804669,0.639804669
ipython-input-3795278461.py,92,work_fn,~,0,<method 'get' of 'dict' objects>,1,8.170000000000001e-07,8.170000000000001e-07,0.639804669,0.639804669
blas.py,395,getter,~,0,<method 'get' of 'dict' objects>,109,0.0005350120000000001,0.0005350120000000001,0.639804669,0.639804669
_linalg.py,142,_realType,~,0,<method 'get' of 'dict' objects>,15,1.7996000000000002e-05,1.7996000000000002e-05,0.639804669,0.639804669
fromnumeric.py,69,_wrapreduction,~,0,<method 'items' of 'dict' objects>,3181038,0.9173289160000001,0.9173289160000001,0.917397933,0.917397933
fromnumeric.py,89,_wrapreduction_any_all,~,0,<method 'items' of 'dict' objects>,94,6.901700000000001e-05,6.901700000000001e-05,0.917397933,0.917397933
~,0,<built-in method time.sleep>,~,0,<method 'values' of 'dict' objects>,3,9.954e-06,9.954e-06,1.3263000000000002e-05,1.3263000000000002e-05
configuration_recovery.py,59,recover_configurations,~,0,<method 'values' of 'dict' objects>,1,3.309e-06,3.309e-06,1.3263000000000002e-05,1.3263000000000002e-05
_decomp.py,284,eigh,~,0,<method 'update' of 'dict' objects>,109,0.000154985,0.000154985,0.000154985,0.000154985
session.py,646,msg,~,0,<method 'copy' of 'dict' objects>,1,3.7100000000000003e-07,3.7100000000000003e-07,3.7100000000000003e-07,3.7100000000000003e-07
selectors.py,451,select,~,0,<method 'append' of 'list' objects>,1,5.550000000000001e-07,5.550000000000001e-07,0.000521918,0.000521918
session.py,687,serialize,~,0,<method 'append' of 'list' objects>,3,1.1660000000000001e-06,1.1660000000000001e-06,0.000521918,0.000521918
_internal.py,448,_promote_fields,~,0,<method 'append' of 'list' objects>,46,1.2383000000000002e-05,1.2383000000000002e-05,0.000521918,0.000521918
_function_base_impl.py,1324,diff,~,0,<method 'append' of 'list' objects>,31,1.3694000000000001e-05,1.3694000000000001e-05,0.000521918,0.000521918
linalg_helper.py,1490,_normalize_xt_,~,0,<method 'append' of 'list' objects>,94,0.00017558000000000002,0.00017558000000000002,0.000521918,0.000521918
linalg_helper.py,291,davidson1,~,0,<method 'append' of 'list' objects>,218,0.00013626100000000002,0.00013626100000000002,0.000521918,0.000521918
_util.py,1203,wrapper,~,0,<method 'append' of 'list' objects>,218,0.00015441,0.00015441,0.000521918,0.000521918
direct_spin1.py,549,_get_init_guess,~,0,<method 'append' of 'list' objects>,15,1.3783000000000002e-05,1.3783000000000002e-05,0.000521918,0.000521918
subsampling.py,147,subsample,~,0,<method 'append' of 'list' objects>,15,7.935000000000001e-06,7.935000000000001e-06,0.000521918,0.000521918
fermion.py,149,diagonalize_fermionic_hamiltonian,~,0,<method 'append' of 'list' objects>,15,5.059e-06,5.059e-06,0.000521918,0.000521918
numeric.py,1437,moveaxis,~,0,<method 'insert' of 'list' objects>,2,2.469e-06,2.469e-06,2.469e-06,2.469e-06
session.py,687,serialize,~,0,<method 'extend' of 'list' objects>,1,4.3800000000000003e-07,4.3800000000000003e-07,7.39e-07,7.39e-07
session.py,751,send,~,0,<method 'extend' of 'list' objects>,1,3.01e-07,3.01e-07,7.39e-07,7.39e-07
session.py,97,json_packer,~,0,<method 'encode' of 'str' objects>,4,4.136e-06,4.136e-06,4.136e-06,4.136e-06
jsonutil.py,108,json_default,~,0,<method 'replace' of 'str' objects>,2,2.211e-06,2.211e-06,2.211e-06,2.211e-06
configuration_recovery.py,59,recover_configurations,~,0,<method 'join' of 'str' objects>,400000,4.218104677,9.095231401000001,4.2181061600000005,9.095232884000001
encoder.py,183,encode,~,0,<method 'join' of 'str' objects>,4,1.483e-06,1.483e-06,4.2181061600000005,9.095232884000001
attrsettr.py,43,__getattr__,~,0,<method 'upper' of 'str' objects>,4,3.101e-06,3.101e-06,3.101e-06,3.101e-06
misc.py,702,check_sanity,~,0,<method 'startswith' of 'str' objects>,195,0.000103097,0.000103097,0.000103097,0.000103097
_arraysetops_impl.py,144,unique,~,0,<method 'format' of 'str' objects>,46,3.2504e-05,3.2504e-05,3.2504e-05,3.2504e-05
~,0,<built-in method builtins.issubclass>,<frozen abc>,121,__subclasscheck__,2,4.847e-06,1.0061e-05,4.847e-06,1.0061e-05
~,0,<built-in method builtins.isinstance>,<frozen abc>,117,__instancecheck__,109,0.004250314000000001,0.004709042,0.004253159,0.004713589000000001
fermion.py,149,diagonalize_fermionic_hamiltonian,<frozen abc>,117,__instancecheck__,1,2.8450000000000003e-06,4.547000000000001e-06,0.004253159,0.004713589000000001
attrsettr.py,43,__getattr__,<frozen importlib._bootstrap>,1390,_handle_fromlist,4,1.3744000000000001e-05,1.8222000000000003e-05,1.3744000000000001e-05,1.8222000000000003e-05
linalg_helper.py,1466,_sort_elast,~,0,<built-in method builtins.abs>,94,0.00072895,0.00072895,0.00148867,0.00148867
linalg_helper.py,291,davidson1,~,0,<built-in method builtins.abs>,218,0.0007545610000000001,0.0007545610000000001,0.00148867,0.00148867
fermion.py,149,diagonalize_fermionic_hamiltonian,~,0,<built-in method builtins.abs>,4,5.159e-06,5.159e-06,0.00148867,0.00148867
linalg_helper.py,291,davidson1,~,0,<built-in method builtins.all>,109,0.000174227,0.000174227,0.000174227,0.000174227
_stride_tricks_impl.py,349,_broadcast_to,~,0,<built-in method builtins.any>,218,0.00045818400000000004,0.001029386,0.000590536,0.001161738
