filename,lineno,func,prim_calls,total_calls,tottime,cumtime
~,0,<method 'set' of '_contextvars.ContextVar' objects>,16,16,5.6628e-05,5.6628e-05
~,0,<method 'reset' of '_contextvars.ContextVar' objects>,16,16,4.0465e-05,4.0465e-05
~,0,<method 'run' of '_contextvars.Context' objects>,3,3,1.2416000000000001e-05,0.0023385240000000002
~,0,<method 'union' of 'set' objects>,15,15,0.000160218,0.000160218
~,0,<method 'get' of 'dict' objects>,1581158,1581158,0.639804669,0.639804669
~,0,<method 'items' of 'dict' objects>,3181132,3181132,0.917397933,0.917397933
~,0,<method 'values' of 'dict' objects>,4,4,1.3263000000000002e-05,1.3263000000000002e-05
~,0,<method 'update' of 'dict' objects>,109,109,0.000154985,0.000154985
~,0,<method 'copy' of 'dict' objects>,1,1,3.7100000000000003e-07,3.7100000000000003e-07
~,0,<method 'append' of 'list' objects>,657,657,0.000521918,0.000521918
~,0,<method 'insert' of 'list' objects>,2,2,2.469e-06,2.469e-06
~,0,<method 'extend' of 'list' objects>,2,2,7.39e-07,7.39e-07
~,0,<method 'encode' of 'str' objects>,4,4,4.136e-06,4.136e-06
~,0,<method 'replace' of 'str' objects>,2,2,2.211e-06,2.211e-06
~,0,<method 'join' of 'str' objects>,400004,400004,4.2181061600000005,9.095232884000001
~,0,<method 'upper' of 'str' objects>,4,4,3.101e-06,3.101e-06
~,0,<method 'startswith' of 'str' objects>,195,195,0.000103097,0.000103097
~,0,<method 'format' of 'str' objects>,46,46,3.2504e-05,3.2504e-05
<frozen abc>,121,__subclasscheck__,2,2,4.847e-06,1.0061e-05
<frozen abc>,117,__instancecheck__,110,110,0.004253159,0.004713589000000001
<frozen importlib._bootstrap>,1390,_handle_fromlist,4,4,1.3744000000000001e-05,1.8222000000000003e-05
~,0,<built-in method builtins.abs>,316,316,0.00148867,0.00148867
~,0,<built-in method builtins.all>,109,109,0.000174227,0.000174227
~,0,<built-in method builtins.any>,327,327,0.000590536,0.001161738
~,0,<built-in method builtins.callable>,233,233,0.00016305400000000001,0.00016305400000000001
~,0,<built-in method builtins.getattr>,2365494,2365494,2.013321395,2.013321395
~,0,<built-in method builtins.hasattr>,70,70,6.7471e-05,6.7471e-05
~,0,<built-in method builtins.hash>,4,4,1.9710000000000003e-06,1.9710000000000003e-06
~,0,<built-in method builtins.isinstance>,2391636,2391640,0.670430788,0.6751743410000001
~,0,<built-in method builtins.issubclass>,2371704,2371704,1.173337879,1.17334794
~,0,<built-in method builtins.iter>,218,218,0.000132313,0.000132313
~,0,<built-in method builtins.len>,1575184,1575184,0.432441811,0.432441811
~,0,<built-in method builtins.locals>,1,1,3.0810000000000002e-06,3.0810000000000002e-06
~,0,<built-in method builtins.max>,115,115,0.0006452830000000001,0.0006452830000000001
~,0,<built-in method builtins.min>,115,115,0.001492578,0.001499288
~,0,<built-in method builtins.round>,790504,790504,2.201623849,2.201623849
~,0,<built-in method builtins.sorted>,122,122,0.027794469000000002,0.027794469000000002
~,0,<built-in method builtins.sum>,15,15,1.9544e-05,1.9544e-05
~,0,<method '__exit__' of '_thread.RLock' objects>,1,1,1.233e-06,1.233e-06
~,0,<method 'acquire' of '_thread.lock' objects>,1,1,1.2310000000000002e-06,1.2310000000000002e-06
~,0,<method '__exit__' of '_thread.lock' objects>,2,2,1.661e-06,1.661e-06
~,0,<method 'close' of '_io.StringIO' objects>,1,1,4.6200000000000003e-07,4.6200000000000003e-07
~,0,<method 'getvalue' of '_io.StringIO' objects>,1,1,1.4840000000000001e-06,1.4840000000000001e-06
~,0,<built-in method time.time>,2,2,1.5350000000000001e-06,1.5350000000000001e-06
~,0,<built-in method time.sleep>,645,645,383.24898450200004,647.311783268
~,0,<built-in method time.monotonic>,5,5,6.056e-06,6.056e-06
~,0,<built-in method time.process_time>,139,139,0.0028083720000000004,0.0028083720000000004
~,0,<built-in method time.perf_counter>,139,139,0.000149547,0.000149547
~,0,<built-in method posix.getpid>,4,4,5.129e-06,5.129e-06
~,0,<built-in method posix.getppid>,646,646,0.002532171,0.002532171
~,0,<built-in method _abc._abc_instancecheck>,110,110,0.00046043,0.00046043
~,0,<built-in method _abc._abc_subclasscheck>,2,2,5.214e-06,5.214e-06
~,0,<method 'append' of 'collections.deque' objects>,4,4,3.6220000000000002e-06,3.6220000000000002e-06
~,0,<method 'popleft' of 'collections.deque' objects>,5,5,2.837e-06,2.837e-06
~,0,<built-in method _operator.index>,34,34,1.8157000000000003e-05,1.8157000000000003e-05
~,0,<built-in method utcnow>,1,1,2.9786000000000002e-05,2.9786000000000002e-05
~,0,<method 'isoformat' of 'datetime.datetime' objects>,2,2,1.8847e-05,1.8847e-05
~,0,<method 'replace' of 'datetime.datetime' objects>,1,1,6.305000000000001e-06,6.305000000000001e-06
~,0,<built-in method math.ceil>,1,1,1.546e-06,1.546e-06
~,0,<built-in method _heapq.heappush>,1,1,9.05e-07,9.05e-07
~,0,<built-in method _heapq.heappop>,1,1,8.73e-07,8.73e-07
~,0,<method 'poll' of 'select.epoll' objects>,2,2,3.9154000000000005e-05,3.9154000000000005e-05
enum.py,1128,__new__,20,20,1.9421000000000003e-05,1.9421000000000003e-05
traitlets.py,2336,_validate_bounds,1,1,4.71e-07,4.71e-07
typing.py,1770,_no_init_or_replace_init,1,1,2.091e-06,2.091e-06
encoder.py,205,iterencode,4,4,3.9601e-05,7.146500000000001e-05
selectors.py,451,select,3,3,0.49025475700000004,647.437550988
traitlets.py,702,set,1,1,4.664000000000001e-06,2.3113e-05
base_events.py,771,call_at,1,1,9.03e-06,2.6119000000000002e-05
traitlets.py,651,get,14,14,1.0232000000000001e-05,1.0232000000000001e-05
traitlets.py,740,_cross_validate,1,1,5.422e-06,7.25e-06
base_events.py,1922,_run_once,3,3,0.008809324,647.4497233540001
events.py,86,_run,3,3,1.8015e-05,0.002356539
selector_events.py,750,_process_events,3,3,1.1954000000000001e-05,2.1101e-05
attrsettr.py,43,__getattr__,4,4,4.9043000000000005e-05,0.000174897
socket.py,632,send,8,8,0.000996838,0.0011467480000000002
socket.py,709,send_multipart,1,1,2.9571000000000002e-05,0.001191893
socket.py,780,recv_multipart,2,2,7.2854e-05,0.00012301100000000002
session.py,687,serialize,1,1,1.4167e-05,0.000145975
session.py,751,send,1,1,2.6725000000000002e-05,0.00035529100000000004
zmqstream.py,574,_handle_events,2,2,3.1647000000000004e-05,0.0018809380000000002
jsonutil.py,108,json_default,2,2,8.922e-06,3.1864000000000005e-05
zmqstream.py,615,_handle_recv,2,2,1.2707e-05,0.001518161
iostream.py,495,_flush,1,1,2.1762000000000003e-05,0.000432263
iostream.py,90,_event_pipe,1,1,2.657e-06,2.657e-06
numeric.py,460,count_nonzero,790516,790516,0.49425422500000005,0.854673564
numeric.py,1373,normalize_axis_tuple,4,4,4.4343000000000006e-05,5.2532000000000005e-05
_internal.py,448,_promote_fields,1,1,0.00010337200000000001,0.00013379
fromnumeric.py,69,_wrapreduction,3181038,3181038,7.376737481,21.647988035
numeric.py,1437,moveaxis,2,2,3.529e-05,0.000104307
_ufunc_config.py,410,__enter__,15,15,7.7749e-05,0.00018796900000000002
_ufunc_config.py,434,inner,1,1,4.7281000000000004e-05,5.3402e-05
getlimits.py,487,__new__,1581032,1581032,0.9896617780000001,1.628911773
einsumfunc.py,1057,einsum,402,402,0.001664773,0.213024596
_internal.py,261,__init__,3887,3887,0.008205190000000001,0.008225444
_linalg.py,148,_commonType,15,15,0.00012203600000000001,0.000196793
_function_base_impl.py,249,flip,4,4,3.9708e-05,5.1713000000000004e-05
_stride_tricks_impl.py,349,_broadcast_to,218,218,0.005290406,0.007316225000000001
_arraysetops_impl.py,144,unique,1573491,1573491,3.7909068250000004,30.462550012
_arraysetops_impl.py,342,_unique1d,1573491,1573491,17.064253504,25.042597599
_function_base_impl.py,1324,diff,31,31,0.0005754740000000001,0.0006194260000000001
numpy_helper.py,574,transpose,233,233,0.5860565550000001,0.591163658
