caller_file,caller_line,caller_func,callee_file,callee_line,callee_func,calls,edge_tottime_approx,edge_cumtime_approx,callee_tottime_total,callee_cumtime_total
_ufunc_config.py,410,__enter__,~,0,<method 'set' of '_contextvars.ContextVar' objects>,6,1.6317e-05,1.6317e-05,1.7584e-05,1.7584e-05
_ufunc_config.py,434,inner,~,0,<method 'set' of '_contextvars.ContextVar' objects>,1,1.2670000000000001e-06,1.2670000000000001e-06,1.7584e-05,1.7584e-05
_ufunc_config.py,434,inner,~,0,<method 'reset' of '_contextvars.ContextVar' objects>,1,1.6680000000000002e-06,1.6680000000000002e-06,1.1741e-05,1.1741e-05
_ufunc_config.py,426,__exit__,~,0,<method 'reset' of '_contextvars.ContextVar' objects>,6,1.0073e-05,1.0073e-05,1.1741e-05,1.1741e-05
events.py,86,_run,~,0,<method 'run' of '_contextvars.Context' objects>,3,1.5971e-05,0.0014643170000000001,1.5971e-05,0.0014643170000000001
misc.py,677,check_sanity,~,0,<method 'union' of 'set' objects>,6,5.0321e-05,5.0321e-05,5.0321e-05,5.0321e-05
session.py,687,serialize,~,0,<method 'get' of 'dict' objects>,1,6.09e-07,6.09e-07,0.058369254,0.058369254
getlimits.py,487,__new__,~,0,<method 'get' of 'dict' objects>,131762,0.058270881000000004,0.058270881000000004,0.058369254,0.058369254
ipython-input-3795278461.py,92,work_fn,~,0,<method 'get' of 'dict' objects>,1,7.39e-07,7.39e-07,0.058369254,0.058369254
blas.py,395,getter,~,0,<method 'get' of 'dict' objects>,36,9.185700000000001e-05,9.185700000000001e-05,0.058369254,0.058369254
_linalg.py,142,_realType,~,0,<method 'get' of 'dict' objects>,6,5.168e-06,5.168e-06,0.058369254,0.058369254
fromnumeric.py,69,_wrapreduction,~,0,<method 'items' of 'dict' objects>,273629,0.09304820300000001,0.09304820300000001,0.09306171,0.09306171
fromnumeric.py,89,_wrapreduction_any_all,~,0,<method 'items' of 'dict' objects>,30,1.3507000000000001e-05,1.3507000000000001e-05,0.09306171,0.09306171
configuration_recovery.py,59,recover_configurations,~,0,<method 'values' of 'dict' objects>,1,8.74e-07,8.74e-07,8.74e-07,8.74e-07
_decomp.py,284,eigh,~,0,<method 'update' of 'dict' objects>,36,2.8460000000000002e-05,2.8460000000000002e-05,2.8460000000000002e-05,2.8460000000000002e-05
session.py,646,msg,~,0,<method 'copy' of 'dict' objects>,1,4.5500000000000004e-07,4.5500000000000004e-07,4.5500000000000004e-07,4.5500000000000004e-07
selectors.py,451,select,~,0,<method 'append' of 'list' objects>,1,5.36e-07,5.36e-07,8.8004e-05,8.8004e-05
session.py,687,serialize,~,0,<method 'append' of 'list' objects>,3,1.027e-06,1.027e-06,8.8004e-05,8.8004e-05
_internal.py,448,_promote_fields,~,0,<method 'append' of 'list' objects>,20,7.441e-06,7.441e-06,8.8004e-05,8.8004e-05
_function_base_impl.py,1324,diff,~,0,<method 'append' of 'list' objects>,13,5.227e-06,5.227e-06,8.8004e-05,8.8004e-05
linalg_helper.py,1490,_normalize_xt_,~,0,<method 'append' of 'list' objects>,30,1.3693000000000001e-05,1.3693000000000001e-05,8.8004e-05,8.8004e-05
linalg_helper.py,291,davidson1,~,0,<method 'append' of 'list' objects>,72,2.8465000000000003e-05,2.8465000000000003e-05,8.8004e-05,8.8004e-05
_util.py,1203,wrapper,~,0,<method 'append' of 'list' objects>,72,2.2414000000000003e-05,2.2414000000000003e-05,8.8004e-05,8.8004e-05
direct_spin1.py,549,_get_init_guess,~,0,<method 'append' of 'list' objects>,6,3.832e-06,3.832e-06,8.8004e-05,8.8004e-05
ipython-input-3795278461.py,92,work_fn,~,0,<method 'append' of 'list' objects>,1,1.734e-06,1.734e-06,8.8004e-05,8.8004e-05
subsampling.py,147,subsample,~,0,<method 'append' of 'list' objects>,6,2.0550000000000002e-06,2.0550000000000002e-06,8.8004e-05,8.8004e-05
counts.py,45,bit_array_to_arrays,~,0,<method 'append' of 'list' objects>,6,1.5800000000000001e-06,1.5800000000000001e-06,8.8004e-05,8.8004e-05
