caller_file,caller_line,caller_func,callee_file,callee_line,callee_func,calls,edge_tottime_approx,edge_cumtime_approx,callee_tottime_total,callee_cumtime_total
_ufunc_config.py,410,__enter__,~,0,<method 'set' of '_contextvars.ContextVar' objects>,15,7.633600000000001e-05,7.633600000000001e-05,7.876500000000001e-05,7.876500000000001e-05
_ufunc_config.py,434,inner,~,0,<method 'set' of '_contextvars.ContextVar' objects>,1,2.429e-06,2.429e-06,7.876500000000001e-05,7.876500000000001e-05
_ufunc_config.py,434,inner,~,0,<method 'reset' of '_contextvars.ContextVar' objects>,1,1.0590000000000002e-06,1.0590000000000002e-06,3.4554e-05,3.4554e-05
_ufunc_config.py,426,__exit__,~,0,<method 'reset' of '_contextvars.ContextVar' objects>,15,3.3495000000000004e-05,3.3495000000000004e-05,3.4554e-05,3.4554e-05
events.py,86,_run,~,0,<method 'run' of '_contextvars.Context' objects>,3,1.5842000000000002e-05,0.002862649,1.5842000000000002e-05,0.002862649
misc.py,677,check_sanity,~,0,<method 'union' of 'set' objects>,15,0.000193613,0.000193613,0.000193613,0.000193613
session.py,687,serialize,~,0,<method 'get' of 'dict' objects>,1,8.49e-07,8.49e-07,0.6446575830000001,0.6446575830000001
getlimits.py,487,__new__,~,0,<method 'get' of 'dict' objects>,1591296,0.64417789,0.64417789,0.6446575830000001,0.6446575830000001
ipython-input-3795278461.py,92,work_fn,~,0,<method 'get' of 'dict' objects>,1,8.200000000000001e-07,8.200000000000001e-07,0.6446575830000001,0.6446575830000001
blas.py,395,getter,~,0,<method 'get' of 'dict' objects>,88,0.00046094100000000003,0.00046094100000000003,0.6446575830000001,0.6446575830000001
_linalg.py,142,_realType,~,0,<method 'get' of 'dict' objects>,15,1.7083000000000002e-05,1.7083000000000002e-05,0.6446575830000001,0.6446575830000001
fromnumeric.py,69,_wrapreduction,~,0,<method 'items' of 'dict' objects>,3191302,0.9331543990000001,0.9331543990000001,0.9332080700000001,0.9332080700000001
fromnumeric.py,89,_wrapreduction_any_all,~,0,<method 'items' of 'dict' objects>,73,5.3671e-05,5.3671e-05,0.9332080700000001,0.9332080700000001
~,0,<built-in method time.sleep>,~,0,<method 'values' of 'dict' objects>,3,1.061e-05,1.061e-05,1.2829e-05,1.2829e-05
configuration_recovery.py,59,recover_configurations,~,0,<method 'values' of 'dict' objects>,1,2.2190000000000003e-06,2.2190000000000003e-06,1.2829e-05,1.2829e-05
_decomp.py,284,eigh,~,0,<method 'update' of 'dict' objects>,88,0.00012524900000000002,0.00012524900000000002,0.00012524900000000002,0.00012524900000000002
session.py,646,msg,~,0,<method 'copy' of 'dict' objects>,1,5.1e-07,5.1e-07,5.1e-07,5.1e-07
~,0,<built-in method time.sleep>,~,0,<method 'append' of 'list' objects>,1,2.167e-06,2.167e-06,0.000425732,0.000425732
selectors.py,451,select,~,0,<method 'append' of 'list' objects>,1,5.2e-07,5.2e-07,0.000425732,0.000425732
session.py,687,serialize,~,0,<method 'append' of 'list' objects>,3,8.88e-07,8.88e-07,0.000425732,0.000425732
_internal.py,448,_promote_fields,~,0,<method 'append' of 'list' objects>,52,1.355e-05,1.355e-05,0.000425732,0.000425732
_function_base_impl.py,1324,diff,~,0,<method 'append' of 'list' objects>,31,1.0742000000000002e-05,1.0742000000000002e-05,0.000425732,0.000425732
linalg_helper.py,1490,_normalize_xt_,~,0,<method 'append' of 'list' objects>,72,0.000151757,0.000151757,0.000425732,0.000425732
linalg_helper.py,291,davidson1,~,0,<method 'append' of 'list' objects>,176,0.000104703,0.000104703,0.000425732,0.000425732
_util.py,1203,wrapper,~,0,<method 'append' of 'list' objects>,176,0.000116144,0.000116144,0.000425732,0.000425732
direct_spin1.py,549,_get_init_guess,~,0,<method 'append' of 'list' objects>,15,1.2241e-05,1.2241e-05,0.000425732,0.000425732
subsampling.py,147,subsample,~,0,<method 'append' of 'list' objects>,15,7.994e-06,7.994e-06,0.000425732,0.000425732
fermion.py,149,diagonalize_fermionic_hamiltonian,~,0,<method 'append' of 'list' objects>,3,6.720000000000001e-07,6.720000000000001e-07,0.000425732,0.000425732
fermion.py,435,solve_sci_batch,~,0,<method 'append' of 'list' objects>,12,3.1950000000000003e-06,3.1950000000000003e-06,0.000425732,0.000425732
numeric.py,1437,moveaxis,~,0,<method 'insert' of 'list' objects>,2,2.006e-06,2.006e-06,2.006e-06,2.006e-06
session.py,687,serialize,~,0,<method 'extend' of 'list' objects>,1,4.2600000000000003e-07,4.2600000000000003e-07,6.46e-07,6.46e-07
session.py,751,send,~,0,<method 'extend' of 'list' objects>,1,2.2e-07,2.2e-07,6.46e-07,6.46e-07
session.py,97,json_packer,~,0,<method 'encode' of 'str' objects>,4,4.288e-06,4.288e-06,4.288e-06,4.288e-06
jsonutil.py,108,json_default,~,0,<method 'replace' of 'str' objects>,2,2.475e-06,2.475e-06,2.475e-06,2.475e-06
configuration_recovery.py,59,recover_configurations,~,0,<method 'join' of 'str' objects>,400000,4.630635852,9.861895141,4.6306372090000005,9.861896498
encoder.py,183,encode,~,0,<method 'join' of 'str' objects>,4,1.357e-06,1.357e-06,4.6306372090000005,9.861896498
attrsettr.py,43,__getattr__,~,0,<method 'upper' of 'str' objects>,4,3.2070000000000004e-06,3.2070000000000004e-06,3.2070000000000004e-06,3.2070000000000004e-06
misc.py,702,check_sanity,~,0,<method 'startswith' of 'str' objects>,195,8.0159e-05,8.0159e-05,8.0159e-05,8.0159e-05
_arraysetops_impl.py,144,unique,~,0,<method 'format' of 'str' objects>,52,3.3325000000000004e-05,3.3325000000000004e-05,3.3325000000000004e-05,3.3325000000000004e-05
~,0,<built-in method builtins.issubclass>,<frozen abc>,121,__subclasscheck__,2,4.552000000000001e-06,9.692000000000001e-06,4.552000000000001e-06,9.692000000000001e-06
~,0,<built-in method builtins.isinstance>,<frozen abc>,117,__instancecheck__,88,0.000197066,0.000596918,0.000199058,0.000601616
fermion.py,149,diagonalize_fermionic_hamiltonian,<frozen abc>,117,__instancecheck__,1,1.992e-06,4.698000000000001e-06,0.000199058,0.000601616
attrsettr.py,43,__getattr__,<frozen importlib._bootstrap>,1390,_handle_fromlist,4,1.3301e-05,1.8766e-05,1.3301e-05,1.8766e-05
linalg_helper.py,1466,_sort_elast,~,0,<built-in method builtins.abs>,73,0.000601773,0.000601773,0.001219938,0.001219938
linalg_helper.py,291,davidson1,~,0,<built-in method builtins.abs>,176,0.0006125950000000001,0.0006125950000000001,0.001219938,0.001219938
fermion.py,435,solve_sci_batch,~,0,<built-in method builtins.abs>,4,5.57e-06,5.57e-06,0.001219938,0.001219938
linalg_helper.py,291,davidson1,~,0,<built-in method builtins.all>,88,0.000167441,0.000167441,0.000167441,0.000167441
_stride_tricks_impl.py,349,_broadcast_to,~,0,<built-in method builtins.any>,176,0.000366782,0.000875206,0.000500654,0.001009078
_util.py,1203,wrapper,~,0,<built-in method builtins.any>,88,0.000133872,0.000133872,0.000500654,0.001009078
linalg_helper.py,291,davidson1,~,0,<built-in method builtins.callable>,191,0.000162167,0.000162167,0.000162167,0.000162167
attrsettr.py,43,__getattr__,~,0,<built-in method builtins.getattr>,4,9.417e-06,9.417e-06,2.098878392,2.098878392
fromnumeric.py,69,_wrapreduction,~,0,<built-in method builtins.getattr>,795649,1.579997412,1.579997412,2.098878392,2.098878392
addons.py,190,_convert,~,0,<built-in method builtins.getattr>,118,0.0038339140000000003,0.0038339140000000003,2.098878392,2.098878392
rdm.py,123,make_rdm12_spin1,~,0,<built-in method builtins.getattr>,15,1.9787000000000002e-05,1.9787000000000002e-05,2.098878392,2.098878392
rdm.py,91,make_rdm1_spin1,~,0,<built-in method builtins.getattr>,60,0.00011582000000000001,0.00011582000000000001,2.098878392,2.098878392
selected_ci.py,758,contract_2e,~,0,<built-in method builtins.getattr>,88,3.3746000000000005e-05,3.3746000000000005e-05,2.098878392,2.098878392
selected_ci.py,931,_as_SCIvector_if_not,~,0,<built-in method builtins.getattr>,45,4.4517e-05,4.4517e-05,2.098878392,2.098878392
selected_ci.py,893,_unpack,~,0,<built-in method builtins.getattr>,163,6.2147e-05,6.2147e-05,2.098878392,2.098878392
selected_ci.py,914,__array_finalize__,~,0,<built-in method builtins.getattr>,397,0.00038083100000000004,0.00038083100000000004,2.098878392,2.098878392
lapack.py,1025,_compute_lwork,~,0,<built-in method builtins.getattr>,176,0.00040273100000000003,0.00040273100000000003,2.098878392,2.098878392
_linalg.py,123,_makearray,~,0,<built-in method builtins.getattr>,15,4.9328000000000006e-05,4.9328000000000006e-05,2.098878392,2.098878392
fromnumeric.py,51,_wrapfunc,~,0,<built-in method builtins.getattr>,1592328,0.513928742,0.513928742,2.098878392,2.098878392
<frozen importlib._bootstrap>,1390,_handle_fromlist,~,0,<built-in method builtins.hasattr>,4,4.591000000000001e-06,4.591000000000001e-06,7.04e-05,7.04e-05
traitlets.py,740,_cross_validate,~,0,<built-in method builtins.hasattr>,1,1.249e-06,1.249e-06,7.04e-05,7.04e-05
_function_base_impl.py,249,flip,~,0,<built-in method builtins.hasattr>,4,6.099e-06,6.099e-06,7.04e-05,7.04e-05
misc.py,677,check_sanity,~,0,<built-in method builtins.hasattr>,60,5.7547e-05,5.7547e-05,7.04e-05,7.04e-05
traitlets.py,731,_validate,~,0,<built-in method builtins.hasattr>,1,9.140000000000001e-07,9.140000000000001e-07,7.04e-05,7.04e-05
typing.py,1285,__hash__,~,0,<built-in method builtins.hash>,4,2.034e-06,2.034e-06,2.034e-06,2.034e-06
<frozen importlib._bootstrap>,1390,_handle_fromlist,~,0,<built-in method builtins.isinstance>,4,8.74e-07,8.74e-07,0.675316978,0.675945255
socket.py,709,send_multipart,~,0,<built-in method builtins.isinstance>,7,1.838e-06,1.838e-06,0.675316978,0.675945255
session.py,687,serialize,~,0,<built-in method builtins.isinstance>,2,6.33e-07,6.33e-07,0.675316978,0.675945255
session.py,751,send,~,0,<built-in method builtins.isinstance>,3,2.221e-06,2.221e-06,0.675316978,0.675945255
jsonutil.py,108,json_default,~,0,<built-in method builtins.isinstance>,2,2.85e-07,2.85e-07,0.675316978,0.675945255
linalg_helper.py,291,davidson1,~,0,<built-in method builtins.isinstance>,30,1.0929e-05,1.0929e-05,0.675316978,0.675945255
_decomp.py,284,eigh,~,0,<built-in method builtins.isinstance>,88,3.2094e-05,3.2094e-05,0.675316978,0.675945255
direct_spin1.py,178,absorb_h1e,~,0,<built-in method builtins.isinstance>,15,5.365e-06,5.365e-06,0.675316978,0.675945255
selected_ci.py,313,kernel_fixed_space,~,0,<built-in method builtins.isinstance>,15,4.3654000000000006e-05,4.3654000000000006e-05,0.675316978,0.675945255
bit_array.py,67,__init__,~,0,<built-in method builtins.isinstance>,1,3.03e-07,3.03e-07,0.675316978,0.675945255
addons.py,822,_unpack_nelec,~,0,<built-in method builtins.isinstance>,253,0.000337947,0.000337947,0.675316978,0.675945255
addons.py,206,_stand_sym_code,~,0,<built-in method builtins.isinstance>,236,0.000164629,0.000164629,0.675316978,0.675945255
direct_spin1.py,920,eig,~,0,<built-in method builtins.isinstance>,15,1.6956e-05,1.6956e-05,0.675316978,0.675945255
_sparse.py,10,issparse,~,0,<built-in method builtins.isinstance>,88,0.0006015790000000001,0.001198497,0.675316978,0.675945255
logger.py,219,new_logger,~,0,<built-in method builtins.isinstance>,30,2.8438e-05,2.8438e-05,0.675316978,0.675945255
core.py,6607,isMaskedArray,~,0,<built-in method builtins.isinstance>,88,4.1067000000000005e-05,4.1067000000000005e-05,0.675316978,0.675945255
fromnumeric.py,2255,sum,~,0,<built-in method builtins.isinstance>,2395653,0.6739638910000001,0.6739638910000001,0.675316978,0.675945255
fromnumeric.py,1639,diagonal,~,0,<built-in method builtins.isinstance>,30,3.0788000000000004e-05,3.0788000000000004e-05,0.675316978,0.675945255
zmqstream.py,547,_run_callback,~,0,<built-in method builtins.isinstance>,2,6.066e-06,3.9592e-05,0.675316978,0.675945255
session.py,280,extract_header,~,0,<built-in method builtins.isinstance>,1,1.8000000000000002e-07,1.8000000000000002e-07,0.675316978,0.675945255
traitlets.py,2373,validate,~,0,<built-in method builtins.isinstance>,1,5.3e-07,5.3e-07,0.675316978,0.675945255
encoder.py,183,encode,~,0,<built-in method builtins.isinstance>,8,2.8390000000000003e-06,2.8390000000000003e-06,0.675316978,0.675945255
typing.py,1492,__subclasscheck__,~,0,<built-in method builtins.isinstance>,4,2.167e-06,2.167e-06,0.675316978,0.675945255
enum.py,1543,_get_value,~,0,<built-in method builtins.isinstance>,70,2.1705e-05,2.1705e-05,0.675316978,0.675945255
_linalg.py,148,_commonType,~,0,<built-in method builtins.issubclass>,15,1.019e-05,1.019e-05,1.19733504,1.1973447320000001
_type_check_impl.py,265,iscomplexobj,~,0,<built-in method builtins.issubclass>,88,0.00017456,0.00017456,1.19733504,1.1973447320000001
_linalg.py,128,isComplexType,~,0,<built-in method builtins.issubclass>,30,8.561e-06,8.561e-06,1.19733504,1.1973447320000001
numerictypes.py,288,issubclass_,~,0,<built-in method builtins.issubclass>,1591296,1.0564448770000001,1.0564448770000001,1.19733504,1.1973447320000001
numerictypes.py,470,issubdtype,~,0,<built-in method builtins.issubclass>,795648,0.14069113900000002,0.14069113900000002,1.19733504,1.1973447320000001
typing.py,1492,__subclasscheck__,~,0,<built-in method builtins.issubclass>,2,5.713e-06,1.5405000000000002e-05,1.19733504,1.1973447320000001
_function_base_impl.py,343,iterable,~,0,<built-in method builtins.iter>,176,0.000117319,0.000117319,0.000117319,0.000117319
~,0,<built-in method time.sleep>,~,0,<built-in method builtins.len>,1,1.1600000000000001e-06,1.1600000000000001e-06,0.445784995,0.445784995
selectors.py,451,select,~,0,<built-in method builtins.len>,3,1.0760000000000002e-06,1.0760000000000002e-06,0.445784995,0.445784995
base_events.py,1922,_run_once,~,0,<built-in method builtins.len>,4,1.272e-06,1.272e-06,0.445784995,0.445784995
session.py,751,send,~,0,<built-in method builtins.len>,7,1.3600000000000001e-06,1.3600000000000001e-06,0.445784995,0.445784995
numeric.py,1373,normalize_axis_tuple,~,0,<built-in method builtins.len>,8,2.8280000000000003e-06,2.8280000000000003e-06,0.445784995,0.445784995
_internal.py,448,_promote_fields,~,0,<built-in method builtins.len>,52,7.441e-06,7.441e-06,0.445784995,0.445784995
numeric.py,1437,moveaxis,~,0,<built-in method builtins.len>,4,9.75e-07,9.75e-07,0.445784995,0.445784995
_function_base_impl.py,1324,diff,~,0,<built-in method builtins.len>,31,8.099e-06,8.099e-06,0.445784995,0.445784995
linalg_helper.py,166,_fill_heff_hermitian,~,0,<built-in method builtins.len>,176,4.3464e-05,4.3464e-05,0.445784995,0.445784995
linalg_helper.py,1409,_qr,~,0,<built-in method builtins.len>,15,3.868e-06,3.868e-06,0.445784995,0.445784995
numpy_helper.py,478,take_2d,~,0,<built-in method builtins.len>,176,0.00011367,0.00011367,0.445784995,0.445784995
linalg_helper.py,291,davidson1,~,0,<built-in method builtins.len>,282,0.00025054200000000003,0.00025054200000000003,0.445784995,0.445784995
_decomp.py,284,eigh,~,0,<built-in method builtins.len>,88,8.5042e-05,8.5042e-05,0.445784995,0.445784995
selected_ci.py,175,cre_des_linkstr,~,0,<built-in method builtins.len>,120,0.00014904800000000001,0.00014904800000000001,0.445784995,0.445784995
cistring.py,113,_strs2occslst,~,0,<built-in method builtins.len>,30,1.0221000000000001e-05,1.0221000000000001e-05,0.445784995,0.445784995
selected_ci.py,194,des_des_linkstr,~,0,<built-in method builtins.len>,179,0.00010965200000000001,0.00010965200000000001,0.445784995,0.445784995
selected_ci.py,289,make_hdiag,~,0,<built-in method builtins.len>,30,2.2680000000000003e-05,2.2680000000000003e-05,0.445784995,0.445784995
selected_ci.py,313,kernel_fixed_space,~,0,<built-in method builtins.len>,30,1.7584e-05,1.7584e-05,0.445784995,0.445784995
subsampling.py,96,postselect_by_hamming_right_and_left,~,0,<built-in method builtins.len>,1,4.1200000000000004e-07,4.1200000000000004e-07,0.445784995,0.445784995
fermion.py,66,__post_init__,~,0,<built-in method builtins.len>,30,5.0705e-05,5.0705e-05,0.445784995,0.445784995
subsampling.py,147,subsample,~,0,<built-in method builtins.len>,5,1.3531000000000001e-05,1.3531000000000001e-05,0.445784995,0.445784995
configuration_recovery.py,59,recover_configurations,~,0,<built-in method builtins.len>,4,1.145e-06,1.145e-06,0.445784995,0.445784995
counts.py,45,bit_array_to_arrays,~,0,<built-in method builtins.len>,1,1.9370000000000003e-06,1.9370000000000003e-06,0.445784995,0.445784995
selected_ci.py,769,get_init_guess,~,0,<built-in method builtins.len>,30,3.0731e-05,3.0731e-05,0.445784995,0.445784995
lapack.py,1025,_compute_lwork,~,0,<built-in method builtins.len>,88,2.7996e-05,2.7996e-05,0.445784995,0.445784995
_arraysetops_impl.py,327,reshape_uniq,~,0,<built-in method builtins.len>,1,1.407e-06,1.407e-06,0.445784995,0.445784995
_arraysetops_impl.py,131,_unpack_tuple,~,0,<built-in method builtins.len>,1592154,0.44472249700000005,0.44472249700000005,0.445784995,0.445784995
numeric.py,1736,indices,~,0,<built-in method builtins.len>,88,0.00010127500000000001,0.00010127500000000001,0.445784995,0.445784995
iostream.py,107,_handle_event,~,0,<built-in method builtins.len>,2,6.550000000000001e-07,6.550000000000001e-07,0.445784995,0.445784995
queue.py,209,_qsize,~,0,<built-in method builtins.len>,2,1.396e-06,1.396e-06,0.445784995,0.445784995
session.py,273,msg_header,~,0,<built-in method builtins.locals>,1,2.8850000000000003e-06,2.8850000000000003e-06,2.8850000000000003e-06,2.8850000000000003e-06
