filename,lineno,func,prim_calls,total_calls,tottime,cumtime
~,0,<method 'set' of '_contextvars.ContextVar' objects>,16,16,7.876500000000001e-05,7.876500000000001e-05
~,0,<method 'reset' of '_contextvars.ContextVar' objects>,16,16,3.4554e-05,3.4554e-05
~,0,<method 'run' of '_contextvars.Context' objects>,3,3,1.5842000000000002e-05,0.002862649
~,0,<method 'union' of 'set' objects>,15,15,0.000193613,0.000193613
~,0,<method 'get' of 'dict' objects>,1591401,1591401,0.6446575830000001,0.6446575830000001
~,0,<method 'items' of 'dict' objects>,3191375,3191375,0.9332080700000001,0.9332080700000001
~,0,<method 'values' of 'dict' objects>,4,4,1.2829e-05,1.2829e-05
~,0,<method 'update' of 'dict' objects>,88,88,0.00012524900000000002,0.00012524900000000002
~,0,<method 'copy' of 'dict' objects>,1,1,5.1e-07,5.1e-07
~,0,<method 'append' of 'list' objects>,558,558,0.000425732,0.000425732
~,0,<method 'insert' of 'list' objects>,2,2,2.006e-06,2.006e-06
~,0,<method 'extend' of 'list' objects>,2,2,6.46e-07,6.46e-07
~,0,<method 'encode' of 'str' objects>,4,4,4.288e-06,4.288e-06
~,0,<method 'replace' of 'str' objects>,2,2,2.475e-06,2.475e-06
~,0,<method 'join' of 'str' objects>,400004,400004,4.6306372090000005,9.861896498
~,0,<method 'upper' of 'str' objects>,4,4,3.2070000000000004e-06,3.2070000000000004e-06
~,0,<method 'startswith' of 'str' objects>,195,195,8.0159e-05,8.0159e-05
~,0,<method 'format' of 'str' objects>,52,52,3.3325000000000004e-05,3.3325000000000004e-05
<frozen abc>,121,__subclasscheck__,2,2,4.552000000000001e-06,9.692000000000001e-06
<frozen abc>,117,__instancecheck__,89,89,0.000199058,0.000601616
<frozen importlib._bootstrap>,1390,_handle_fromlist,4,4,1.3301e-05,1.8766e-05
~,0,<built-in method builtins.abs>,253,253,0.001219938,0.001219938
~,0,<built-in method builtins.all>,88,88,0.000167441,0.000167441
~,0,<built-in method builtins.any>,264,264,0.000500654,0.001009078
~,0,<built-in method builtins.callable>,191,191,0.000162167,0.000162167
~,0,<built-in method builtins.getattr>,2389058,2389058,2.098878392,2.098878392
~,0,<built-in method builtins.hasattr>,70,70,7.04e-05,7.04e-05
~,0,<built-in method builtins.hash>,4,4,2.034e-06,2.034e-06
~,0,<built-in method builtins.isinstance>,2396642,2396646,0.675316978,0.675945255
~,0,<built-in method builtins.issubclass>,2387079,2387079,1.19733504,1.1973447320000001
~,0,<built-in method builtins.iter>,176,176,0.000117319,0.000117319
~,0,<built-in method builtins.len>,1593643,1593643,0.445784995,0.445784995
~,0,<built-in method builtins.locals>,1,1,2.8850000000000003e-06,2.8850000000000003e-06
~,0,<built-in method builtins.max>,94,94,0.000630325,0.000630325
~,0,<built-in method builtins.min>,94,94,0.00045446,0.00046250100000000004
~,0,<built-in method builtins.round>,795636,795636,2.247218867,2.247218867
~,0,<built-in method builtins.sorted>,122,122,0.094550615,0.094550615
~,0,<built-in method builtins.sum>,15,15,1.9493e-05,1.9493e-05
~,0,<method '__exit__' of '_thread.RLock' objects>,1,1,9.93e-07,9.93e-07
~,0,<method 'acquire' of '_thread.lock' objects>,1,1,1.405e-06,1.405e-06
~,0,<method '__exit__' of '_thread.lock' objects>,2,2,1.063e-06,1.063e-06
~,0,<method 'close' of '_io.StringIO' objects>,1,1,5.63e-07,5.63e-07
~,0,<method 'getvalue' of '_io.StringIO' objects>,1,1,1.167e-06,1.167e-06
~,0,<built-in method time.time>,2,2,2.381e-06,2.381e-06
~,0,<built-in method time.sleep>,2589,2589,2333.5730948640003,2569.229248729
~,0,<built-in method time.monotonic>,5,5,1.2810000000000001e-05,1.2810000000000001e-05
~,0,<built-in method time.process_time>,118,118,0.0032473660000000002,0.0032473660000000002
~,0,<built-in method time.perf_counter>,118,118,0.000129448,0.000129448
~,0,<built-in method posix.getpid>,4,4,5.544000000000001e-06,5.544000000000001e-06
~,0,<built-in method posix.getppid>,2590,2590,0.011163632000000001,0.011163632000000001
~,0,<built-in method _abc._abc_instancecheck>,89,89,0.000402558,0.000402558
~,0,<built-in method _abc._abc_subclasscheck>,2,2,5.14e-06,5.14e-06
~,0,<method 'append' of 'collections.deque' objects>,4,4,4.539e-06,4.539e-06
~,0,<method 'popleft' of 'collections.deque' objects>,5,5,2.4720000000000002e-06,2.4720000000000002e-06
~,0,<built-in method _operator.index>,34,34,1.8538e-05,1.8538e-05
~,0,<built-in method utcnow>,1,1,3.3316000000000004e-05,3.3316000000000004e-05
~,0,<method 'isoformat' of 'datetime.datetime' objects>,2,2,2.6009e-05,2.6009e-05
~,0,<method 'replace' of 'datetime.datetime' objects>,1,1,5.3400000000000005e-06,5.3400000000000005e-06
~,0,<built-in method math.ceil>,1,1,1.064e-06,1.064e-06
~,0,<built-in method _heapq.heappush>,1,1,1.1410000000000002e-06,1.1410000000000002e-06
~,0,<built-in method _heapq.heappop>,1,1,1.368e-06,1.368e-06
~,0,<method 'poll' of 'select.epoll' objects>,3,3,0.00738629,2592.667126582
enum.py,1128,__new__,20,20,1.8951000000000002e-05,1.8951000000000002e-05
traitlets.py,2336,_validate_bounds,1,1,8.32e-07,8.32e-07
typing.py,1770,_no_init_or_replace_init,1,1,2.149e-06,2.149e-06
encoder.py,205,iterencode,4,4,3.8559e-05,8.0553e-05
selectors.py,451,select,3,3,0.000116748,2592.672220808
traitlets.py,702,set,1,1,5.416e-06,2.7546e-05
base_events.py,771,call_at,1,1,1.0666000000000001e-05,2.7984000000000002e-05
traitlets.py,651,get,14,14,1.2361e-05,1.2361e-05
traitlets.py,740,_cross_validate,1,1,8.478e-06,9.727e-06
base_events.py,1922,_run_once,3,3,0.009296926,2592.6852962440003
events.py,86,_run,3,3,1.9282000000000003e-05,0.0028819310000000003
selector_events.py,750,_process_events,3,3,1.3442000000000001e-05,2.3373e-05
attrsettr.py,43,__getattr__,4,4,6.2403e-05,0.00019060000000000003
socket.py,632,send,8,8,0.001472191,0.001643747
socket.py,709,send_multipart,1,1,3.2298e-05,0.00169154
socket.py,780,recv_multipart,2,2,7.777700000000001e-05,0.000146568
session.py,687,serialize,1,1,1.5385000000000003e-05,0.000158703
session.py,751,send,1,1,2.8335000000000002e-05,0.00037329700000000003
zmqstream.py,574,_handle_events,2,2,3.5705000000000005e-05,0.002359046
jsonutil.py,108,json_default,2,2,1.1609e-05,4.1994000000000005e-05
zmqstream.py,615,_handle_recv,2,2,1.0513e-05,0.002008241
iostream.py,495,_flush,1,1,3.0854e-05,0.000473256
iostream.py,90,_event_pipe,1,1,4.084e-06,4.084e-06
numeric.py,460,count_nonzero,795648,795648,0.49551569700000003,0.857442557
numeric.py,1373,normalize_axis_tuple,4,4,3.9516e-05,4.6999e-05
_internal.py,448,_promote_fields,1,1,0.000117887,0.000151044
fromnumeric.py,69,_wrapreduction,3191302,3191302,7.467976373000001,21.983808425000003
numeric.py,1437,moveaxis,2,2,3.3478e-05,9.632500000000001e-05
_ufunc_config.py,410,__enter__,15,15,6.9703e-05,0.00020474500000000002
_ufunc_config.py,434,inner,1,1,4.7354e-05,5.3114e-05
getlimits.py,487,__new__,1591296,1591296,0.975579692,1.619757582
einsumfunc.py,1057,einsum,339,339,0.0013240180000000002,0.190160403
_internal.py,261,__init__,3404,3404,0.007487423000000001,0.007532844
_linalg.py,148,_commonType,15,15,0.000133132,0.000207944
_function_base_impl.py,249,flip,4,4,3.9558e-05,5.7429e-05
